textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Scottsdale,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Surprise,3,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Surprise,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Tempe,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Tempe,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Tucson,72,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Tucson,28,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Youngtown,6,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iraq,174,Youngtown,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Ivory Coast,5,Phoenix,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Ivory Coast,0,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Jordan,1,Glendale,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Jordan,0,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Kazakhstan,3,Phoenix,3,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Kazakhstan,0,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829","Korea, North",1,Phoenix,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044","Korea, North",1,Phoenix,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Liberia,7,Glendale,7,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Liberia,0,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Pakistan,29,Glendale,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Pakistan,0,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Pakistan,29,Phoenix,20,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Pakistan,0,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Pakistan,29,Tucson,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Pakistan,0,Tucson,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Republic of South Sudan,11,Glendale,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Republic of South Sudan,12,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Republic of South Sudan,11,Phoenix,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Republic of South Sudan,12,Phoenix,8,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Republic of South Sudan,11,Tucson,5,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Republic of South Sudan,12,Tucson,4,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Rwanda,7,Phoenix,3,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Rwanda,0,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Rwanda,7,Tucson,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Rwanda,0,Tucson,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Senegal,0,Tucson,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Senegal,1,Tucson,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Serbia,2,Phoenix,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Serbia,0,Phoenix,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Somalia,767,Glendale,283,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Somalia,124,Glendale,33,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Somalia,767,Phoenix,234,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Somalia,124,Phoenix,22,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Somalia,767,Scottsdale,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Somalia,124,Scottsdale,6,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Somalia,767,Tempe,1,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Somalia,124,Tempe,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Somalia,767,Tucson,249,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Somalia,124,Tucson,63,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Sudan,50,Glendale,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Sudan,27,Glendale,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Sudan,50,Phoenix,24,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Sudan,27,Phoenix,18,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Sudan,50,Tucson,22,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Sudan,27,Tucson,9,"33,368"
